Column1	Column2	Column3	Column4	Column5
《暗黑破壞神?》萬惡之源珍藏組合	https://ec.nintendo.com/HK/zh/bundles/70070000012643		HKD 469	HKD 281
	https://ec.nintendo.com/HK/zh/bundles/70070000013533		HKD 189	HKD 18
Grand Theft Auto：三部曲 – 最終版	https://ec.nintendo.com/HK/zh/bundles/70070000013216		HKD 468	HKD 313
《極速快感?超熱力追緝》重製版 (Need for Speed? Hot Pursuit Remastered)	https://ec.nintendo.com/HK/zh/titles/70010000029277	× 1	HKD 319	HKD 63
祕館疑蹤2 Heaven Dust 2	https://ec.nintendo.com/HK/zh/titles/70010000038607	× 1	HKD 58	HKD 39
末日方舟 Delivery from the Pain	https://ec.nintendo.com/HK/zh/titles/70010000048795	× 1	HKD 79	HKD 55
超級機器人大戰Ｔ	https://ec.nintendo.com/HK/zh/titles/70010000015667	× 1	HKD 559	HKD 148
The Sinking City：豪華典藏版	https://ec.nintendo.com/HK/zh/bundles/70070000009581	× 1	HKD 510	HKD 76
	https://ec.nintendo.com/HK/zh/titles/70010000014595	× 1	HKD 238	HKD 71
	https://ec.nintendo.com/HK/zh/titles/70010000037691	× 1	HKD 108	HKD 27
	https://ec.nintendo.com/HK/zh/titles/70010000037295	× 1	HKD 26	HKD 23
	https://ec.nintendo.com/HK/zh/titles/70010000029667	× 1	HKD 80	HKD 20
	https://ec.nintendo.com/HK/zh/titles/70010000012857	× 1	HKD 156	HKD 78
	https://ec.nintendo.com/HK/zh/bundles/70070000012601	× 1	HKD 548	HKD 219
	https://ec.nintendo.com/HK/zh/bundles/70070000014223	× 1	HKD 49	HKD 14
S.N.I.P.E.R - Hunter Scope (S.N.I.P.E.R. 獵人範圍)	https://ec.nintendo.com/HK/zh/titles/70010000036220	× 1	HKD 110	HKD 10
Among Us	https://ec.nintendo.com/HK/zh/titles/70010000039104	× 1	HKD 38	HKD 28
狄神探	https://ec.nintendo.com/HK/zh/titles/70010000047620	× 1	HKD 99	HKD 10
冒險村物語(Dungeon Village)	https://ec.nintendo.com/HK/zh/titles/70010000014547	× 1	HKD 100	HKD 50
《植物大戰殭屍?: 和睦小鎮保衛戰》完整版	https://ec.nintendo.com/HK/zh/titles/70010000027857	× 1	HKD 319	HKD 118
《花之靈》（Hoa）	https://ec.nintendo.com/HK/zh/titles/70010000045281	× 1	HKD 79	HKD 47
Dungeon Nightmares 1+2 Collection	https://ec.nintendo.com/HK/zh/titles/70010000037602	× 1	HKD 125	HKD 12
聖女戰旗	https://ec.nintendo.com/HK/zh/titles/70010000027454	× 1	HKD 118	HKD 59
Deedlit in Wonder Labyrinth (蒂德莉特的奇境迷宮冒險)	https://ec.nintendo.com/HK/zh/titles/70010000046027	× 1	HKD 109	HKD 76
